North America January - December Temperature Anomalies
Units: Degrees Celsius
Base Period: 1910-2000
Missing: -999
Date,Anomaly
195211,0.15
195212,0.47
195301,0.59
195302,0.68
195303,0.78
195304,0.76
195305,0.71
195306,0.70
195307,0.71
195308,0.75
195309,0.77
195310,0.83
195311,0.85
195312,0.69
195401,0.52
195402,0.59
195403,0.53
195404,0.41
195405,0.37
195406,0.36
195407,0.37
195408,0.36
195409,0.36
195410,0.34
195411,0.39
195412,0.40
195501,0.59
195502,0.26
195503,0.14
195504,0.28
195505,0.32
195506,0.32
195507,0.31
195508,0.30
195509,0.27
195510,0.30
195511,-0.05
195512,-0.20
195601,-0.26
195602,-0.21
195603,-0.14
195604,-0.25
195605,-0.33
195606,-0.33
195607,-0.37
195608,-0.41
195609,-0.48
195610,-0.59
195611,-0.44
195612,-0.38
195701,-0.49
195702,-0.39
195703,-0.27
195704,-0.22
195705,-0.20
195706,-0.22
195707,-0.19
195708,-0.15
195709,-0.06
195710,-0.06
195711,-0.02
195712,0.06
195801,0.34
195802,0.26
195803,0.25
195804,0.25
195805,0.35
195806,0.34
195807,0.33
195808,0.36
195809,0.34
195810,0.37
195811,0.35
195812,0.29
195901,0.04
195902,0.06
195903,-0.06
195904,-0.09
195905,-0.19
195906,-0.18
195907,-0.18
195908,-0.24
195909,-0.27
195910,-0.36
195911,-0.44
195912,-0.23
196001,-0.13
196002,-0.06
196003,-0.19
196004,-0.17
196005,-0.10
196006,-0.07
196007,-0.04
196008,0.00
196009,0.04
196010,0.18
196011,0.28
196012,0.15
196101,0.15
196102,0.16
196103,0.28
196104,0.21
196105,0.14
196106,0.15
196107,0.14
196108,0.16
196109,0.06
196110,-0.05
196111,-0.10
196112,-0.26
196201,-0.35
196202,-0.46
196203,-0.41
196204,-0.34
196205,-0.31
196206,-0.35
196207,-0.39
196208,-0.41
196209,-0.36
196210,-0.22
196211,-0.12
196212,0.07
196301,0.05
196302,0.15
196303,0.14
196304,0.23
196305,0.21
196306,0.20
196307,0.24
196308,0.22
196309,0.26
196310,0.34
196311,0.29
196312,0.18
196401,0.33
196402,0.36
196403,0.15
196404,0.03
196405,0.05
196406,0.02
196407,0.01
196408,-0.05
196409,-0.13
196410,-0.30
196411,-0.33
196412,-0.44
196501,-0.53
196502,-0.73
196503,-0.60
196504,-0.54
196505,-0.52
196506,-0.55
196507,-0.59
196508,-0.58
196509,-0.65
196510,-0.64
196511,-0.58
196512,-0.37
196601,-0.59
196602,-0.48
196603,-0.38
196604,-0.49
196605,-0.53
196606,-0.47
196607,-0.38
196608,-0.34
196609,-0.19
196610,-0.23
196611,-0.36
196612,-0.43
196701,-0.14
196702,-0.22
196703,-0.30
196704,-0.30
196705,-0.33
196706,-0.36
196707,-0.44
196708,-0.44
196709,-0.45
196710,-0.42
196711,-0.35
196712,-0.28
196801,-0.41
196802,-0.32
196803,-0.16
196804,-0.09
196805,-0.07
196806,-0.05
196807,-0.06
196808,-0.12
196809,-0.13
196810,-0.07
196811,-0.03
196812,-0.21
196901,-0.25
196902,-0.16
196903,-0.38
196904,-0.31
196905,-0.25
196906,-0.30
196907,-0.27
196908,-0.18
196909,-0.19
196910,-0.31
196911,-0.31
196912,-0.02
197001,0.02
197002,0.01
197003,0.10
197004,0.00
197005,-0.05
197006,0.02
197007,0.05
197008,0.05
197009,0.02
197010,0.05
197011,0.03
197012,-0.26
197101,-0.33
197102,-0.38
197103,-0.41
197104,-0.37
197105,-0.35
197106,-0.32
197107,-0.36
197108,-0.38
197109,-0.34
197110,-0.28
197111,-0.32
197112,-0.33
197201,-0.30
197202,-0.48
197203,-0.44
197204,-0.53
197205,-0.51
197206,-0.60
197207,-0.64
197208,-0.66
197209,-0.75
197210,-0.87
197211,-0.91
197212,-0.98
197301,-0.82
197302,-0.70
197303,-0.57
197304,-0.52
197305,-0.50
197306,-0.43
197307,-0.36
197308,-0.30
197309,-0.19
197310,-0.02
197311,-0.01
197312,0.21
197401,0.07
197402,0.07
197403,-0.09
197404,-0.07
197405,-0.12
197406,-0.14
197407,-0.13
197408,-0.22
197409,-0.35
197410,-0.49
197411,-0.38
197412,-0.37
197501,-0.35
197502,-0.33
197503,-0.39
197504,-0.45
197505,-0.38
197506,-0.37
197507,-0.34
197508,-0.30
197509,-0.24
197510,-0.16
197511,-0.23
197512,-0.34
197601,-0.28
197602,-0.18
197603,-0.09
197604,0.08
197605,0.05
197606,0.03
197607,-0.01
197608,-0.02
197609,0.06
197610,-0.03
197611,-0.01
197612,0.02
197701,0.05
197702,0.21
197703,0.34
197704,0.35
197705,0.46
197706,0.52
197707,0.52
197708,0.53
197709,0.54
197710,0.67
197711,0.69
197712,0.65
197801,0.57
197802,0.35
197803,0.20
197804,0.12
197805,0.01
197806,-0.08
197807,-0.08
197808,-0.10
197809,-0.12
197810,-0.20
197811,-0.30
197812,-0.19
197901,-0.23
197902,-0.58
197903,-0.53
197904,-0.58
197905,-0.63
197906,-0.60
197907,-0.57
197908,-0.55
197909,-0.52
197910,-0.42
197911,-0.28
197912,-0.17
198001,-0.01
198002,0.47
198003,0.47
198004,0.57
198005,0.71
198006,0.74
198007,0.76
198008,0.79
198009,0.72
198010,0.68
198011,0.71
198012,0.46
198101,0.69
198102,0.75
198103,0.96
198104,0.95
198105,0.88
198106,0.88
198107,0.86
198108,0.89
198109,0.94
198110,0.94
198111,1.01
198112,1.23
198201,0.69
198202,0.43
198203,0.19
198204,0.02
198205,-0.03
198206,-0.09
198207,-0.12
198208,-0.21
198209,-0.26
198210,-0.28
198211,-0.55
198212,-0.59
198301,-0.29
198302,-0.17
198303,-0.14
198304,-0.09
198305,-0.19
198306,-0.14
198307,-0.12
198308,-0.01
198309,0.02
198310,0.05
198311,0.29
198312,0.01
198401,-0.08
198402,0.00
198403,0.03
198404,0.14
198405,0.25
198406,0.28
198407,0.26
198408,0.26
198409,0.17
198410,0.13
198411,-0.04
198412,0.09
198501,0.25
198502,-0.03
198503,0.05
198504,0.02
198505,0.11
198506,0.06
198507,0.05
198508,-0.05
198509,-0.02
198510,-0.02
198511,-0.15
198512,-0.04
198601,0.04
198602,0.32
198603,0.32
198604,0.33
198605,0.29
198606,0.30
198607,0.28
198608,0.30
198609,0.32
198610,0.31
198611,0.32
198612,0.47
198701,0.51
198702,0.53
198703,0.49
198704,0.57
198705,0.57
198706,0.65
198707,0.69
198708,0.69
198709,0.77
198710,0.81
198711,1.08
198712,1.10
198801,0.83
198802,0.70
198803,0.76
198804,0.74
198805,0.76
198806,0.77
198807,0.81
198808,0.88
198809,0.84
198810,0.86
198811,0.80
198812,0.64
198901,0.68
198902,0.59
198903,0.36
198904,0.35
198905,0.29
198906,0.25
198907,0.27
198908,0.24
198909,0.24
198910,0.22
198911,0.10
198912,-0.03
199001,0.09
199002,0.03
199003,0.29
199004,0.27
199005,0.27
199006,0.30
199007,0.26
199008,0.25
199009,0.32
199010,0.26
199011,0.31
199012,0.29
199101,0.11
199102,0.45
199103,0.39
199104,0.41
199105,0.49
199106,0.50
199107,0.50
199108,0.52
199109,0.47
199110,0.50
199111,0.44
199112,0.62
199201,0.85
199202,0.71
199203,0.76
199204,0.66
199205,0.52
199206,0.41
199207,0.32
199208,0.22
199209,0.12
199210,0.15
199211,0.25
199212,0.14
199301,-0.02
199302,-0.15
199303,-0.21
199304,-0.16
199305,-0.06
199306,-0.04
199307,0.03
199308,0.09
199309,0.13
199310,0.13
199311,0.05
199312,0.19
199401,0.05
199402,-0.05
199403,0.00
199404,0.01
199405,0.01
199406,0.09
199407,0.14
199408,0.18
199409,0.29
199410,0.36
199411,0.47
199412,0.49
199501,0.73
199502,0.94
199503,0.84
199504,0.83
199505,0.80
199506,0.80
199507,0.76
199508,0.78
199509,0.76
199510,0.70
199511,0.63
199512,0.50
199601,0.27
199602,0.32
199603,0.27
199604,0.25
199605,0.21
199606,0.21
199607,0.22
199608,0.16
199609,0.11
199610,0.04
199611,-0.02
199612,0.02
199701,0.12
199702,0.11
199703,0.15
199704,0.09
199705,0.07
199706,0.05
199707,0.07
199708,0.10
199709,0.19
199710,0.21
199711,0.36
199712,0.52
199801,0.60
199802,0.74
199803,0.81
199804,1.04
199805,1.24
199806,1.27
199807,1.35
199808,1.43
199809,1.48
199810,1.63
199811,1.74
199812,1.70
199901,1.71
199902,1.67
199903,1.75
199904,1.68
199905,1.53
199906,1.49
199907,1.39
199908,1.35
199909,1.22
199910,1.11
199911,1.11
199912,1.10
200001,1.13
200002,1.18
200003,1.25
200004,1.20
200005,1.21
200006,1.17
200007,1.20
200008,1.17
200009,1.15
200010,1.18
200011,1.02
200012,0.79
200101,0.90
200102,0.70
200103,0.55
200104,0.57
200105,0.61
200106,0.65
200107,0.66
200108,0.72
200109,0.80
200110,0.80
200111,0.94
200112,1.21
200201,1.16
200202,1.17
200203,0.98
200204,0.87
200205,0.75
200206,0.80
200207,0.82
200208,0.74
200209,0.74
200210,0.71
200211,0.66
200212,0.75
200301,0.76
200302,0.69
200303,0.82
200304,0.92
200305,1.02
200306,0.96
200307,0.96
200308,1.04
200309,1.01
200310,1.18
200311,1.11
200312,0.99
200401,0.75
200402,0.88
200403,0.98
200404,0.98
200405,0.90
200406,0.89
200407,0.84
200408,0.71
200409,0.67
200410,0.58
200411,0.64
200412,0.49
200501,0.61
200502,0.69
200503,0.72
200504,0.80
200505,0.88
200506,0.94
200507,0.98
200508,1.04
200509,1.10
200510,1.11
200511,1.13
200512,1.29
200601,1.51
200602,1.47
200603,1.45
200604,1.49
200605,1.57
200606,1.62
200607,1.64
200608,1.66
200609,1.65
200610,1.62
200611,1.47
200612,1.55
200701,1.44
200702,1.30
200703,1.24
200704,1.12
200705,1.03
200706,1.00
200707,1.01
200708,1.00
200709,0.97
200710,1.02
200711,1.12
200712,0.89
200801,0.77
200802,0.73
200803,0.63
200804,0.58
200805,0.57
200806,0.55
200807,0.48
200808,0.46
200809,0.46
200810,0.39
200811,0.43
200812,0.34
200901,0.35
200902,0.46
200903,0.44
200904,0.45
200905,0.42
200906,0.37
200907,0.35
200908,0.32
200909,0.40
200910,0.29
200911,0.34
200912,0.45
201001,0.56
201002,0.66
201003,0.94
201004,1.14
201005,1.22
201006,1.30
201007,1.37
201008,1.47
201009,1.45
201010,1.66
201011,1.64
201012,1.72
201101,1.65
201102,1.49
201103,1.29
201104,1.04
201105,0.99
201106,0.96
201107,0.99
201108,0.99
201109,1.02
201110,0.98
201111,0.90
201112,0.96
201201,1.03
201202,1.24
201203,1.43
201204,1.58
201205,1.67
201206,1.74
201207,1.78
201208,1.79
201209,1.79
201210,1.73
201211,1.69
201212,1.59
201301,1.55
201302,1.42
201303,1.27
201304,1.04
201305,0.95
201306,0.92
201307,0.81
201308,0.76
201309,0.74
201310,0.80
201311,0.77
201312,0.58
201401,0.62
201402,0.46
201403,0.34
201404,0.43
201405,0.48
201406,0.45
201407,0.46
201408,0.46
201409,0.42
201410,0.46
201411,0.43
201412,0.75
201501,0.70
201502,0.69
201503,0.88
201504,0.97
201505,0.99
201506,1.02
201507,1.04
201508,1.03
201509,1.10
201510,1.08
201511,1.27
201512,1.30
201601,1.44
201602,1.75
201603,1.87
201604,1.91
201605,1.94
201606,1.96
201607,2.01
201608,2.05
201609,2.05
201610,2.05
201611,2.20
201612,2.02
201701,1.99
201702,1.99
201703,1.83
201704,1.79
201705,1.77
201706,1.73
201707,1.71
201708,1.66
201709,1.65
201710,1.66
201711,1.43
201712,1.55
201801,1.46
201802,1.27
201803,1.31
201804,1.17
201805,1.19
201806,1.19
201807,1.19
201808,1.19
201809,1.09
201810,0.96
201811,0.88
201812,0.90
201901,0.85
201902,0.75
201903,0.75
201904,0.92
201905,0.86
201906,0.84
201907,0.84
201908,0.86
201909,0.98
201910,1.03
201911,1.12
201912,1.08
202001,1.13
202002,1.26
202003,1.21
202004,1.14
202005,1.12
202006,1.13
202007,1.15
202008,1.19
202009,1.09
202010,1.07
202011,1.12
202012,1.19
202101,1.37
202102,1.22
202103,1.31
202104,1.36
202105,1.35
202106,1.42
202107,1.41
202108,1.39
202109,1.47
202110,1.66
202111,1.68
202112,1.61
202201,1.33
202202,1.34
202203,1.29
202204,1.20
202205,1.23
202206,1.18
202207,1.21
202208,1.26
202209,1.30
202210,1.23
202211,1.14
202212,1.01
202301,1.25
202302,1.34
202303,1.24
202304,1.32
202305,1.44
202306,1.46
202307,1.49
202308,1.49
202309,1.53
202310,1.56
202311,1.73
202312,2.07
202401,1.94
